term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"found","found","13","1000","0.013","0","0"
"encouraged","encourag","13","1000","0.013","0","0"
"efforts","effort","13","1000","0.013","0","0"
"culture","cultur","13","1000","0.013","0","0"
"criminal","crimin","13","1000","0.013","0","0"
"concern","concern","13","1000","0.013","0","0"
"challenge","challeng","13","1000","0.013","0","0"
"center","center","13","1000","0.013","0","0"
"asia","asia","13","1000","0.013","0","0"
"african-american","african-american","13","1000","0.013","0","0"
"accused","accus","13","1000","0.013","0","0"
"accounts","account","13","1000","0.013","0","0"
"visit","visit","12","1000","0.012","0","0"
"think","think","12","1000","0.012","0","0"
"syrian","syrian","12","1000","0.012","0","0"
"sunday","sunday","12","1000","0.012","0","0"
"spread","spread","12","1000","0.012","0","0"
"senate","senat","12","1000","0.012","0","0"
"seeking","seek","12","1000","0.012","0","0"
"republican","republican","12","1000","0.012","0","0"
"questions","question","12","1000","0.012","0","0"
"party","parti","12","1000","0.012","0","0"
"pandemic","pandem","12","1000","0.012","0","0"
"order","order","12","1000","0.012","0","0"
"issue","issu","12","1000","0.012","0","0"
"investigation","investig","12","1000","0.012","0","0"
"friday","friday","12","1000","0.012","0","0"
"family","famili","12","1000","0.012","0","0"
"decade","decad","12","1000","0.012","0","0"
"deadly","dead","12","1000","0.012","0","0"
"critical","critic","12","1000","0.012","0","0"
"congo","congo","12","1000","0.012","0","0"
"claims","claim","12","1000","0.012","0","0"
"based","base","12","1000","0.012","0","0"
"attorney","attorney","12","1000","0.012","0","0"
"agency","agenc","12","1000","0.012","0","0"
"washington","washington","11","1000","0.011","0","0"
"vote","vote","11","1000","0.011","0","0"
"university","univers","11","1000","0.011","0","0"
"travel","travel","11","1000","0.011","0","0"
"thousands","thousand","11","1000","0.011","0","0"
"system","system","11","1000","0.011","0","0"
"study","studi","11","1000","0.011","0","0"
"sources","sourc","11","1000","0.011","0","0"
"small","small","11","1000","0.011","0","0"
"signs","sign","11","1000","0.011","0","0"
"shot","shot","11","1000","0.011","0","0"
"risk","risk","11","1000","0.011","0","0"
"respond","respond","11","1000","0.011","0","0"
"resolution","resolut","11","1000","0.011","0","0"
"programs","program","11","1000","0.011","0","0"
"policy","polici","11","1000","0.011","0","0"
"peace","peac","11","1000","0.011","0","0"
"opportunity","opportun","11","1000","0.011","0","0"
"open","open","11","1000","0.011","0","0"
"local","local","11","1000","0.011","0","0"
"life","life","11","1000","0.011","0","0"
"hope","hope","11","1000","0.011","0","0"
"gang","gang","11","1000","0.011","0","0"
"fact","fact","11","1000","0.011","0","0"
"executive","execut","11","1000","0.011","0","0"
"drug","drug","11","1000","0.011","0","0"
"discussions","discuss","11","1000","0.011","0","0"
"counts","count","11","1000","0.011","0","0"
"control","control","11","1000","0.011","0","0"
"company","compani","11","1000","0.011","0","0"
"committed","commit","11","1000","0.011","0","0"
"brought","brought","11","1000","0.011","0","0"
