term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"violence","violenc","224","1000","0.224","-0.6155595909498293","1.2761426620556184"
"algeria","algeria","194","1000","0.194","",""
"algerian","algerian","96","1000","0.096","",""
"african","african","90","1000","0.09","1.9853738954834157","-0.03581214307742138"
"republican","republican","60","1000","0.06","0.536478839062525","0.8645821365183912"
"protests","protest","54","1000","0.054","-0.6650746407183751","0.8885639905278822"
"islamic","islam","45","1000","0.045","1.5578187361941604","0.8466433773027435"
"conflicts","conflict","45","1000","0.045","-0.6039185081680581","0.47929940152468264"
"africa","africa","45","1000","0.045","2.231012254884992","0.07893839491143166"
"arab","arab","43","1000","0.043","1.692536055780453","0.350498149840773"
"trump","trump","41","1000","0.041","-0.2550008062391513","-0.6969387993837831"
"terrorist","terrorist","36","1000","0.036","-0.23432184181460197","1.6005943453952134"
"egypt","egypt","35","1000","0.035","1.8268761086799508","0.2818000821326712"
"western","western","34","1000","0.034","-0.15649766959449576","-0.15059182982092398"
"terrorism","terror","33","1000","0.033","-0.26343221179907944","1.574281432822216"
"france","franc","31","1000","0.031","2.191011228388539","-0.26123139621058833"
"american","american","31","1000","0.031","1.9816952411238482","-0.24624290773532148"
"sudan","sudan","30","1000","0.03","1.3453191416331174","0.16505858453625272"
"democratic","democrat","29","1000","0.029","-0.19765887590152864","1.3876385776670188"
"armed","arm","29","1000","0.029","-0.4150183099938529","0.42142676794064987"
"united","unit","28","1000","0.028","-0.20830970558508566","0.1166998797738347"
"libya","libya","28","1000","0.028","1.4462571232809869","0.682166253026627"
"independence","independ","28","1000","0.028","-0.22401027564394196","0.7400861839157014"
"refugees","refuge","27","1000","0.027","-0.33392392006451","1.0582847895505096"
"french","french","26","1000","0.026","1.8162502778169074","-0.4858475347012429"
"bouteflika","bouteflika","26","1000","0.026","",""
"sahara","sahara","25","1000","0.025","0.7720163563468985","-0.16765030483179638"
"nations","nation","24","1000","0.024","-0.09711442840675932","0.4982108815185042"
"migrants","migrant","24","1000","0.024","-0.2994232421814169","0.9626366865421564"
"iran","iran","23","1000","0.023","2.066081330770413","0.5698657562692248"
"morocco","morocco","22","1000","0.022","0.8302123536050562","0.044744479569851475"
"burkina","burkina","22","1000","0.022","",""
"syria","syria","21","1000","0.021","1.3623143349983686","0.6099646374989982"
"israel","israel","21","1000","0.021","2.084019080287938","0.7791715060803247"
"faso","faso","21","1000","0.021","",""
"muslim","muslim","20","1000","0.02","1.3740156170689741","1.0000936083916017"
"iraq","iraq","20","1000","0.02","2.035886180615233","0.6181382310521895"
"saudi","saudi","19","1000","0.019","1.6813448075300634","0.2030467300416571"
"media","media","18","1000","0.018","-0.24830579707969758","-0.11158240759422165"
"mali","mali","18","1000","0.018","1.187574084856073","-0.07072515879431113"
"europe","europ","18","1000","0.018","2.2888576155334595","-0.23589282179501572"
"palestinian","palestinian","17","1000","0.017","1.2288002559856086","0.7890737176337725"
"niger","niger","17","1000","0.017","0.8855943710682377","-0.05182957826357156"
"islamist","islamist","17","1000","0.017","0.8027004899936393","1.0618677208825014"
"stability","stabil","16","1000","0.016","-0.4642922168309737","-0.006108444571020999"
"america","america","16","1000","0.016","2.293035316257761","-0.06820906812642037"
"nominee","nomine","15","1000","0.015","-0.5537741169128774","0.00016599904073692637"
"territory","territori","14","1000","0.014","-0.49962908842737763","-0.023426625175915126"
"ivory","ivori","14","1000","0.014","0.1191378334544751","0.13758073331857498"
"elections","elect","14","1000","0.014","-0.31033256521349567","1.0217512746886561"
"demonstrations","demonstr","14","1000","0.014","-0.41044864530512165","0.4437711811895221"
"ambassador","ambassador","14","1000","0.014","-0.6479295867231152","0.20486448325171208"
"abdelaziz","abdelaziz","14","1000","0.014","",""
"radical","radic","13","1000","0.013","-0.43057931671700406","0.45041525984247366"
"photo","photo","13","1000","0.013","-0.07740667210907545","-0.4838025233153502"
"militant","milit","13","1000","0.013","-0.5049731624713967","1.609081752176647"
"ethnic","ethnic","13","1000","0.013","-0.23909708678843944","0.780750671343347"
"arabia","arabia","13","1000","0.013","0.5805160980231215","-0.06541210484228663"
"violent","violent","12","1000","0.012","-0.5150979034876326","0.5814750060915121"
"university","univers","12","1000","0.012","-0.3306733850466956","-0.04693503740160652"
"turkey","turkey","12","1000","0.012","0.16517829466704043","-0.3266306602710259"
"tunisia","tunisia","12","1000","0.012","",""
"northern","northern","12","1000","0.012","-0.27797048828308746","-0.19302816406443205"
"libyan","libyan","12","1000","0.012","0.6042498218035377","0.20519414181714754"
"european","european","12","1000","0.012","1.9745555383468874","-0.3714324394995657"
"campaign","campaign","12","1000","0.012","-0.4992221674328892","-0.06567108600098827"
"army","armi","12","1000","0.012","-0.11605871159025694","0.8957251426819481"
"algiers","algier","12","1000","0.012","",""
"washington","washington","11","1000","0.011","2.215847086398197","-0.1611919113200088"
"reuters","reuter","11","1000","0.011","1.216198730384157","-0.10988844033541816"
"rebel","rebel","11","1000","0.011","-0.32156800807103714","1.368825891827795"
"mek","mek","11","1000","0.011","1.2202625506129519","-0.244973201521864"
"fleeing","flee","11","1000","0.011","-0.5682913767146138","0.016611100280092314"
"egyptian","egyptian","11","1000","0.011","1.0807393853060423","0.07724456194642342"
"criminal","crimin","11","1000","0.011","-0.5312547139248929","0.42684442802907036"
"country's","countri","11","1000","0.011","0.6022184965914887","0.06145156543185785"
"china","china","11","1000","0.011","0.8769783780486138","-0.3404704073737627"
"borders","border","11","1000","0.011","-0.1561495574223864","0.3742078600561891"
"asia","asia","11","1000","0.011","2.089736702268532","-0.007884487001696881"
"jihadist","jihadist","10","1000","0.01","0.10653154038257187","1.6235821627436413"
"entities","entiti","10","1000","0.01","-0.3141937503666917","-0.05553465339015653"
"economic","econom","10","1000","0.01","-0.398982671711325","0.08140100330646073"
"darfur","darfur","10","1000","0.01","0.5584776262503126","0.16051738782275365"
"crisis","crisi","10","1000","0.01","-0.48372943916157407","0.35655856727394897"
"congress","congress","10","1000","0.01","0.3611351640708038","0.30010385675555684"
"civilians","civilian","10","1000","0.01","-0.5153442940055017","1.3837969552950935"
"camps","camp","10","1000","0.01","-0.3462051051987613","0.3230620954912405"
"activists","activist","10","1000","0.01","-0.4838030815295904","0.5117448972232435"
"1990s","1990s","10","1000","0.01","",""
"world's","world","9","1000","0.009","0.013971877137987669","-0.33021911015032196"
"weapons","weapon","9","1000","0.009","-0.4465106771546388","0.5451829659907088"
"senate","senat","9","1000","0.009","0.06072969081342765","0.25781272309241954"
"sahrawis","sahrawi","9","1000","0.009","",""
"perpetrated","perpetr","9","1000","0.009","-0.3117390960982184","0.21348155990917758"
"nigeria","nigeria","9","1000","0.009","2.635377041408278","0.3896341113479263"
"israeli","isra","9","1000","0.009","1.766380563543923","0.5750499626750651"
"extremists","extremist","9","1000","0.009","-0.336332034253394","1.844966138482787"
"escalation","escal","9","1000","0.009","-0.4510019029093723","0.4876246557743382"
"emerging","emerg","9","1000","0.009","-0.3893680439639847","-0.5941195073103401"
"displaced","displac","9","1000","0.009","-0.6037916417019508","0.10597892599824203"
"crime","crime","9","1000","0.009","-0.2795693586163233","0.6240224726039921"
"clash","clash","9","1000","0.009","-0.621470540507412","-0.13671173538488077"
"abuses","abus","9","1000","0.009","-0.4833942651202226","0.7945859194462686"
"youth","youth","8","1000","0.008","-0.3193983397081953","0.06365953666289842"
"wars","war","8","1000","0.008","0.1428087241428958","0.6249554162797876"
"targeted","target","8","1000","0.008","-0.4743711903994457","-0.5138674494413278"
"sudanese","sudanes","8","1000","0.008","",""
"secular","secular","8","1000","0.008","-0.19707332197223337","0.7094866460838071"
"sectarian","sectarian","8","1000","0.008","-0.2490330129856409","1.4695792865524098"
"rally","ralli","8","1000","0.008","-0.55252108612895","-0.04097095740161502"
"populations","popul","8","1000","0.008","-0.24117669520155008","0.18498644520035223"
"polisario","polisario","8","1000","0.008","0.006705706084338763","0.3916125382132495"
"paris","pari","8","1000","0.008","1.9751800618918158","-0.37487543980940946"
"minister","minist","8","1000","0.008","-0.3673573394998991","0.3798323761709744"
"migration","migrat","8","1000","0.008","-0.09996182506894395","-0.07746926889512006"
"jordan","jordan","8","1000","0.008","2.193021146438595","-0.288489266652311"
"insurgency","insurg","8","1000","0.008","-0.42239841806555206","2.398352039517937"
"brutal","brutal","8","1000","0.008","-0.4565329457616735","0.16587819284166752"
"british","british","8","1000","0.008","2.0370816281176816","-0.03967715451629475"
"bloody","bloodi","8","1000","0.008","-0.04798704274970465","0.45496673683994143"
"yemen","yemen","7","1000","0.007","0.7831182028249357","0.1914618833864085"
"women's","women","7","1000","0.007","0.6144737627255114","-0.2876005613580651"
"victory","victori","7","1000","0.007","-0.756609939072647","-0.3758424552487203"
"van","van","7","1000","0.007","0.010364585155983399","-0.38241202996645296"
"ultimately","ultim","7","1000","0.007","-0.4423065787030985","-0.4636425563236105"
"tripoli","tripoli","7","1000","0.007","0.6018914839533581","0.10591659796188002"
"tensions","tension","7","1000","0.007","-0.9448090379144878","0.7358175260120741"
"syrian","syrian","7","1000","0.007","0.73024871278374","0.18149847868390578"
"russia","russia","7","1000","0.007","2.12315874387626","0.22525468157986062"
"resolve","resolv","7","1000","0.007","-0.7264919163678857","-0.25692917642651836"
"resignation","resign","7","1000","0.007","-0.70704233438215","-0.1246214404259899"
"repression","repress","7","1000","0.007","-0.3048063409722694","1.4576266776704334"
