term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"violence","violenc","222","1000","0.222","-0.6742767773138361","1.3497649558527183"
"algeria","algeria","177","1000","0.177","",""
"algerian","algerian","96","1000","0.096","",""
"african","african","92","1000","0.092","1.9590341875311645","0.05975855116047091"
"france","franc","72","1000","0.072","2.210396541982379","-0.19439881556442165"
"republican","republican","65","1000","0.065","0.5699663307292407","0.8334158155764558"
"french","french","64","1000","0.064","1.8223285522636201","-0.4027707836562776"
"africa","africa","49","1000","0.049","2.1985389350118263","0.22917935538919765"
"conflicts","conflict","40","1000","0.04","-0.6472087248692188","0.5173715329875956"
"islamic","islam","37","1000","0.037","1.5199134201729487","0.8620856410147258"
"arab","arab","37","1000","0.037","1.6922667778125415","0.4341339721901486"
"terrorism","terror","34","1000","0.034","-0.3009062039295172","1.513284784506572"
"muslims","muslim","32","1000","0.032","1.4038217052365367","1.2788567308123568"
"protests","protest","31","1000","0.031","-0.6750807368390773","0.9367585788664105"
"independence","independ","31","1000","0.031","-0.23823660467815413","0.8034921517621004"
"trump","trump","30","1000","0.03","-0.2610531117899893","-0.6130439408841578"
"libya","libya","30","1000","0.03","1.4365323884188599","0.7562792278754493"
"western","western","29","1000","0.029","-0.15372306402947294","-0.1056809792523558"
"paris","pari","28","1000","0.028","1.9884338789014233","-0.35249739290078325"
"american","american","28","1000","0.028","1.994155467690895","-0.1700991369623157"
"terrorist","terrorist","27","1000","0.027","-0.2559951642747455","1.4685429841713844"
"united","unit","26","1000","0.026","-0.19631214722845156","0.134152173392139"
"democratic","democrat","26","1000","0.026","-0.23992541133756556","1.346527203031041"
"syria","syria","24","1000","0.024","1.351340244277638","0.6341358200566104"
"nations","nation","23","1000","0.023","-0.10825580320120944","0.49161057249115964"
"morocco","morocco","23","1000","0.023","0.8156742795137185","0.06244032152587521"
"refugees","refuge","22","1000","0.022","-0.36604939526850944","1.1384875909803691"
"european","european","22","1000","0.022","2.0267736690441702","-0.2972053793598595"
"bouteflika","bouteflika","22","1000","0.022","",""
"university","univers","21","1000","0.021","-0.3340828070237283","-0.057343626813414345"
"ambassador","ambassador","21","1000","0.021","-0.6534436076327099","0.0767184215635556"
"sahara","sahara","20","1000","0.02","0.7392988321162537","-0.11632808004756369"
"islamist","islamist","20","1000","0.02","0.7796160381060805","1.0562127502378469"
"egypt","egypt","20","1000","0.02","1.7966250809572006","0.3558022335092123"
"armed","arm","20","1000","0.02","-0.43970924988527443","0.4383495651558584"
"sudan","sudan","19","1000","0.019","1.3081781819391827","0.25418730619941904"
"europe","europ","19","1000","0.019","2.315451006768624","-0.12616399740363707"
"nominee","nomine","18","1000","0.018","-0.5380880172020907","-0.04741146545156382"
"fulbright","fulbright","18","1000","0.018","",""
"faso","faso","18","1000","0.018","",""
"ethnic","ethnic","18","1000","0.018","-0.26428539758934777","0.8485898387331574"
"burkina","burkina","18","1000","0.018","",""
"army","armi","17","1000","0.017","-0.11224131355743719","0.882212520971576"
"abdelaziz","abdelaziz","17","1000","0.017","",""
"usa","usa","16","1000","0.016","2.353061353255915","-0.3869176120145342"
"tunisia","tunisia","16","1000","0.016","",""
"mali","mali","16","1000","0.016","1.1380488278920922","-0.044908753224598155"
"victims","victim","15","1000","0.015","-0.46632129891072405","0.19624697393054175"
"syrian","syrian","15","1000","0.015","0.7215320863905028","0.20228252180422918"
"jihadist","jihadist","15","1000","0.015","0.07541801648062202","1.4975268049342174"
"elections","elect","15","1000","0.015","-0.3311850060857816","1.0516425894276826"
"country's","countri","15","1000","0.015","0.570152940878608","0.06157393974638999"
"libyan","libyan","14","1000","0.014","0.5966798137187903","0.24389331068643783"
"jews","jew","14","1000","0.014","1.6477483903631032","0.8587668878424459"
"violent","violent","13","1000","0.013","-0.5475771071877737","0.6333950375541224"
"minister","minist","13","1000","0.013","-0.3776104745481801","0.30851261080255415"
"militants","milit","13","1000","0.013","-0.49264367533105974","1.8086005675908114"
"media","media","13","1000","0.013","-0.24039528744191266","-0.13670651627918343"
"iraq","iraq","13","1000","0.013","2.0491105419968427","0.7132342675473557"
"immigration","immigr","13","1000","0.013","-0.17747679590686505","0.7245472830815227"
"angola","angola","13","1000","0.013","",""
"turkey","turkey","12","1000","0.012","0.15384956825532148","-0.27239245169759135"
"southern","southern","12","1000","0.012","-0.3228328158712979","-0.08287999121569177"
"obama","obama","12","1000","0.012","2.5276289357822397","0.3702506838988721"
"migrants","migrant","12","1000","0.012","-0.32912754604807787","1.074482491712033"
"ivory","ivori","12","1000","0.012","0.11286124674766719","0.14565632744293505"
"children","children","12","1000","0.012","-0.38206597203965215","0.11627143136242835"
"asia","asia","12","1000","0.012","2.0776692434813","0.05797283883792616"
"washington","washington","11","1000","0.011","2.266434666182967","-0.07948506489366373"
"reuters","reuter","11","1000","0.011","1.2452247320405228","-0.12845009090690745"
"radical","radic","11","1000","0.011","-0.4119984030630604","0.38369441986702574"
"palestinians","palestinian","11","1000","0.011","1.120050186030828","1.2925985912758766"
"northern","northern","11","1000","0.011","-0.2909446001408551","-0.14867414454362138"
"israel","israel","11","1000","0.011","2.0596899982735","0.8043469164672747"
"isis","isi","11","1000","0.011","0.23251495748753903","-0.4368563343505872"
"demonstrations","demonstr","11","1000","0.011","-0.42450725305657777","0.4817082174593007"
"de","de","11","1000","0.011","0.6934152458817762","-0.7156019308473442"
"congress","congress","11","1000","0.011","0.3538546636403487","0.2534442881101687"
"congo","congo","11","1000","0.011","0.9070384994247676","0.08536028335677949"
"america","america","11","1000","0.011","2.3198326574847106","0.08387620425608877"
"stability","stabil","10","1000","0.01","-0.4726325275641372","0.0441865364543917"
"niger","niger","10","1000","0.01","0.875932691644848","0.02483376245474256"
"mediterranean","mediterranean","10","1000","0.01","0.8185205793143295","-0.3098480322279551"
"crisis","crisi","10","1000","0.01","-0.47201230392832233","0.4015149403815173"
"collapse","collaps","10","1000","0.01","-0.46997517165136504","-0.20466969146706657"
"civilians","civilian","10","1000","0.01","-0.539478240075213","1.4030082603493779"
"china","china","10","1000","0.01","0.8955788373019465","-0.3185958823838294"
"chad","chad","10","1000","0.01","1.429936993759624","0.025405966455836034"
"asian","asian","10","1000","0.01","1.793335607145856","-0.3059577602641879"
"victory","victori","9","1000","0.009","-0.757811533944495","-0.3045464321577158"
"territory","territori","9","1000","0.009","-0.5062997236704351","0.04420380513178889"
"tensions","tension","9","1000","0.009","-0.9568731023262935","0.7714043204446714"
"teaching","teach","9","1000","0.009","-0.37669798633486645","-0.1216103982151326"
"somalia","somalia","9","1000","0.009","1.11942056154409","0.5237191429101721"
"secular","secular","9","1000","0.009","-0.20798669540651674","0.6681285328955422"
"sectarian","sectarian","9","1000","0.009","-0.27283821371818673","1.4881133419380717"
"russia","russia","9","1000","0.009","2.134419286564709","0.27364409793943134"
"rebel","rebel","9","1000","0.009","-0.34617033995758417","1.3044403252726502"
"presidents","presid","9","1000","0.009","-0.2817396181879097","0.2523410905714971"
"insurgency","insurg","9","1000","0.009","-0.4659941901610571","2.3267391370925186"
"fighters","fighter","9","1000","0.009","-0.10177287572429816","0.7886182228665942"
"entities","entiti","9","1000","0.009","-0.3337800803689044","-0.06822848419287587"
"english","english","9","1000","0.009","1.7424844406136961","-0.26830295344734195"
"egyptian","egyptian","9","1000","0.009","1.0731075536139651","0.13541952596605472"
"czech","czech","9","1000","0.009","0.7712022034967172","-0.4616027625496225"
"cape","cape","9","1000","0.009","0.2796663877518184","-0.3142341791253081"
"afghanistan","afghanistan","9","1000","0.009","1.7277026729463514","0.8008380109947757"
"yemen","yemen","8","1000","0.008","0.7564825293759544","0.21313271963572678"
"weapons","weapon","8","1000","0.008","-0.47436751420305323","0.518485120702107"
"values","valu","8","1000","0.008","-0.3653838284500254","-0.16753435561780797"
