term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"violence","violenc","127","1000","0.127","-0.6523312636337231","1.2716448266117129"
"algeria","algeria","65","1000","0.065","",""
"republican","republican","56","1000","0.056","0.5700712207468175","0.7711154312809984"
"iraq","iraq","40","1000","0.04","2.0146446399229916","0.5820038113360718"
"conflicts","conflict","26","1000","0.026","-0.6188122184664241","0.45899530184260057"
"israel","israel","24","1000","0.024","2.0499318070159034","0.7630915262116521"
"arab","arab","24","1000","0.024","1.6524585311003976","0.4354617958689468"
"algerian","algerian","22","1000","0.022","",""
"french","french","21","1000","0.021","1.7170295517471417","-0.5083910014648756"
"clinton","clinton","20","1000","0.02","2.1595312533129993","-0.03342372879346785"
"democratic","democrat","19","1000","0.019","-0.2538181954895929","1.3657512971204138"
"african","african","19","1000","0.019","1.8940360326458634","-0.07412486225791752"
"israeli","isra","17","1000","0.017","1.73628841616054","0.5711456784998651"
"american","american","16","1000","0.016","1.931630563560753","-0.26525100068683444"
"united","unit","15","1000","0.015","-0.25047067545976576","0.17255406451567118"
"islamic","islam","15","1000","0.015","1.5167795252554974","0.9100988636715669"
"terrorists","terrorist","14","1000","0.014","-0.1930926164041223","1.6741838510355103"
"muslims","muslim","14","1000","0.014","1.4419151955864944","1.2555644290082228"
"qaeda","qaeda","13","1000","0.013","-0.012704789226755485","-0.07094926084491789"
"palestinian","palestinian","13","1000","0.013","1.1778554263352188","0.8565780822869993"
"wars","war","12","1000","0.012","0.12214356040419659","0.6804743195251745"
"bush","bush","12","1000","0.012","0.23100358540627314","-0.017007524366533446"
"afghanistan","afghanistan","12","1000","0.012","1.7406700512437738","0.7198022823381949"
"terror","terror","11","1000","0.011","-0.2012336203983868","1.3701024078539676"
"nations","nation","11","1000","0.011","-0.12177132774415708","0.5304108123143854"
"islamist","islamist","11","1000","0.011","0.7931874683982468","1.1159239361292694"
"france","franc","11","1000","0.011","2.148665379250279","-0.2892929747808159"
"armed","arm","11","1000","0.011","-0.45509574949672343","0.5410726803743909"
"egypt","egypt","10","1000","0.01","1.775871054379233","0.2764859253705194"
"dieudonné","dieudonné","10","1000","0.01","",""
"militants","milit","9","1000","0.009","-0.4560297478688053","1.9228044816206544"
"insurgencies","insurg","9","1000","0.009","-0.26790846611639063","1.9654503039503408"
"independence","independ","9","1000","0.009","-0.24650258618992993","0.7872494080067969"
"army","armi","9","1000","0.009","-0.13390290989551568","0.9650023981864897"
"america","america","9","1000","0.009","2.2932755476149813","-0.0668948406959547"
"mccain","mccain","8","1000","0.008","1.7793144499334694","0.010554274573504965"
"lebanon","lebanon","8","1000","0.008","1.6403405595507843","0.4091805746403239"
"campaign","campaign","8","1000","0.008","-0.5387216723145368","-0.09283234032448882"
"brothers","brother","8","1000","0.008","-0.39280449398947287","0.07060134790436391"
"western","western","7","1000","0.007","-0.17468338298159877","-0.04239900526006124"
"iraqi","iraqi","7","1000","0.007","1.5100176503201397","0.7291092957855239"
"elections","elect","7","1000","0.007","-0.3213924111024261","0.9506076832619965"
"civilians","civilian","7","1000","0.007","-0.5661605433356767","1.5169409098065758"
"africa","africa","7","1000","0.007","2.1818016152362856","0.0939733656429045"
"taha","taha","6","1000","0.006","",""
"soviet","soviet","6","1000","0.006","1.0598808847094014","0.6908768805543984"
"radicals","radic","6","1000","0.006","-0.06647304693804178","1.3213909878941017"
"pygmies","pygmi","6","1000","0.006","0.32685025554793806","0.3396368207095954"
"morocco","morocco","6","1000","0.006","0.76766432361966","0.03967577774999614"
"lebanese","lebanes","6","1000","0.006","1.0461641626667084","0.2322059994034142"
"cape","cape","6","1000","0.006","0.2064263660775264","-0.3558883348740569"
"agreement","agreement","6","1000","0.006","-0.6547808780559721","-0.3526865917127976"
"violent","violent","5","1000","0.005","-0.5900099012941005","0.6464464759134411"
"vietnam","vietnam","5","1000","0.005","1.5689679153369671","0.15200731599235107"
"sudan","sudan","5","1000","0.005","1.2889545310787964","0.19737831381181298"
"somalia","somalia","5","1000","0.005","1.109207909905838","0.46749276766247005"
"sectarian","sectarian","5","1000","0.005","-0.30255141949477954","1.5221647613573435"
"post-conflict","post-conflict","5","1000","0.005","-0.4950092457799124","0.5382795189170642"
"overthrow","overthrow","5","1000","0.005","-0.426406220200395","1.1194341965342687"
"mobilization","mobil","5","1000","0.005","-0.25553767518162485","0.5199127891883424"
"kouchner","kouchner","5","1000","0.005","",""
"jewish","jewish","5","1000","0.005","1.647930675491424","0.3924114132186304"
"ivory","ivori","5","1000","0.005","0.07079283679874966","0.11121594424801265"
"israeli-palestinian","israeli-palestinian","5","1000","0.005","",""
"hezbollah","hezbollah","5","1000","0.005","0.8029621329852721","0.5466625503407418"
"global","global","5","1000","0.005","-0.2031877347347257","-0.3000817530107722"
"germany","germani","5","1000","0.005","2.1715486409326887","-0.07423815868787706"
"fadl","fadl","5","1000","0.005","",""
"economic","econom","5","1000","0.005","-0.42901014069502486","0.05161394198095247"
"deaths","death","5","1000","0.005","-0.5455001704425612","0.49035043830579744"
"de","de","5","1000","0.005","0.5705952966994392","-0.6923569623554826"
"crime","crime","5","1000","0.005","-0.35484586327110995","0.5393133434242869"
"country's","countri","5","1000","0.005","0.519797983638162","0.07323955787487"
"commitment","commit","5","1000","0.005","-0.6916646655832669","-0.46619807124182017"
"chad","chad","5","1000","0.005","1.3673691960086976","-0.20019335962618617"
"brotherhood","brotherhood","5","1000","0.005","-0.2937525366090547","0.5586365805445811"
"arabiya's","arabiya","5","1000","0.005","",""
"ambassador","ambassador","5","1000","0.005","-0.6991175917623859","0.0979993097876718"
"william","william","4","1000","0.004","2.1922419506780746","-0.6298820062849303"
"victims","victim","4","1000","0.004","-0.5393471379735402","0.2458212128344111"
"uribe","urib","4","1000","0.004","",""
"university","univers","4","1000","0.004","-0.39133773665531557","-0.030153211236873954"
"territory","territori","4","1000","0.004","-0.5548049169377638","0.03224493884872846"
"targets","target","4","1000","0.004","-0.5397705293710482","-0.28629890356613447"
"suicide","suicid","4","1000","0.004","-0.43645489995454523","0.5003533586211568"
"saudi","saudi","4","1000","0.004","1.6091304309753867","0.22494253510748702"
"reporting","report","4","1000","0.004","-0.41289053310166823","-0.3939261329084883"
"renounced","renounc","4","1000","0.004","-0.44013623309491723","0.15989556072146663"
"refuse","refus","4","1000","0.004","-0.2728410101660302","-0.24578601013378337"
"reconstruction","reconstruct","4","1000","0.004","-0.5586586045900904","0.27397447925487745"
"polisario","polisario","4","1000","0.004","-0.057275970128182176","0.4338746536382796"
"petraeus","petraeus","4","1000","0.004","",""
"palestine","palestin","4","1000","0.004","1.0213437754027679","0.5978282438111382"
"olmert","olmert","4","1000","0.004","",""
"obama","obama","4","1000","0.004","2.5123283750505974","0.20244819783559306"
"naim","naim","4","1000","0.004","",""
"media","media","4","1000","0.004","-0.30388935515082516","-0.11555161417495491"
"leader","leader","4","1000","0.004","-0.548121051589122","-0.1292755884261089"
"laayoune","laayoun","4","1000","0.004","",""
"jihad","jihad","4","1000","0.004","0.19106105367765053","1.5132680202202058"
"iran","iran","4","1000","0.004","2.0368615282469382","0.5677583026693963"
"indiscriminate","indiscrimin","4","1000","0.004","-0.36205055178130097","0.6017766142487625"
"imprisoned","imprison","4","1000","0.004","-0.371697328964364","0.53216990838836"
